Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,2925508090945.0,2861063333750.0,3513116361563.0,3535833245440.0,3172994142785.0,
I. Tiền và các khoản tương đương tiền,213481918455.0,158177369944.0,350756710122.0,371043702907.0,510579888457.0,
1. Tiền,123041918455.0,125879521124.0,240585562032.0,331043702907.0,476759888457.0,
2. Các khoản tương đương tiền,90440000000.0,32297848820.0,110171148090.0,40000000000.0,33820000000.0,
II. Các khoản đầu tư tài chính ngắn hạn,1130980894357.0,1069531923241.0,1154624329319.0,1237535940406.0,1112061029695.0,
1. Chứng khoán kinh doanh,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,1130980894357.0,1069531923241.0,1154624329319.0,1237535940406.0,1112061029695.0,
III. Các khoản phải thu ngắn hạn,1233579861084.0,1235316114858.0,1462786989456.0,1559874587051.0,1325931498903.0,
1. Phải thu ngắn hạn của khách hàng,1133248019898.0,1144807788539.0,1240674877384.0,1412958962807.0,1230754428253.0,
2. Trả trước cho người bán ngắn hạn,65362211586.0,67334886508.0,71773486781.0,55742741456.0,62640733999.0,
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,
6. Phải thu ngắn hạn khác,108727694844.0,90464304959.0,197439615932.0,143056315786.0,78178479881.0,
7. Dự phòng phải thu ngắn hạn khó đòi,-73758065244,-67290865148,-47110223385,-51884465742,-45642143230,
8. Tài sản Thiếu chờ xử lý,,,9232744.0,1032744.0,,
IV. Hàng tồn kho,207177327359.0,235280314101.0,461407206346.0,287691438388.0,133218522714.0,
1. Hàng tồn kho,210618687283.0,236047809822.0,463877376819.0,290560829858.0,133218522714.0,
2. Dự phòng giảm giá hàng tồn kho,-3441359924,-767495721,-2470170473,-2869391470,,
V.Tài sản ngắn hạn khác,140288089690.0,162757611606.0,83541126320.0,79687576688.0,91203203016.0,
1. Chi phí trả trước ngắn hạn,28582980714.0,21342068381.0,38187047985.0,57055452671.0,60697320316.0,
2. Thuế GTGT được khấu trừ,111594826076.0,140423184553.0,43280885609.0,21040363118.0,29513172509.0,
3. Thuế và các khoản khác phải thu Nhà nước,110282900.0,992358672.0,2073192726.0,1591760899.0,992710191.0,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
5. Tài sản ngắn hạn khác,,,,,,
B. TÀI SẢN DÀI HẠN,1723877303526.0,2122413240132.0,2742808850012.0,3026037895720.0,3680778687113.0,
I. Các khoản phải thu dài hạn,14408347518.0,16639256554.0,27913266835.0,33197005216.0,34471981257.0,
1. Phải thu dài hạn của khách hàng,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,
6. Phải thu dài hạn khác,14408347518.0,16639256554.0,27913266835.0,33197005216.0,34471981257.0,
7. Dự phòng phải thu dài hạn khó đòi,,,,,,
II.Tài sản cố định,1183135710561.0,1188927766829.0,1460573245671.0,2355191222838.0,2371217407648.0,
