Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,18979176128930.0,25612489544931.0,35118372900846.0,30937711076141.0,36705751751876.0,45535942846453.0
I. Tiền và các khoản tương đương tiền,3453388617569.0,4686191374038.0,5417845293242.0,6440177174322.0,8279156683221.0,9315440438884.0
1. Tiền,2611644417963.0,2216742790757.0,3447377491137.0,3880860111180.0,5975127685903.0,6725619929289.0
2. Các khoản tương đương tiền,841744199606.0,2469448583281.0,1970467802105.0,2559317063142.0,2304028997318.0,2589820509595.0
II. Các khoản đầu tư tài chính ngắn hạn,6708978162325.0,12435918124269.0,20730720735456.0,13047234131950.0,16104205358010.0,21785213686808.0
1. Chứng khoán kinh doanh,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,6708978162325.0,12435918124269.0,20730720735456.0,13047234131950.0,16104205358010.0,21785213686808.0
III. Các khoản phải thu ngắn hạn,6536251148622.0,6265411863371.0,6882182894987.0,8502895161839.0,9674343237344.0,11381523992803.0
1. Phải thu ngắn hạn của khách hàng,5812938112346.0,5564392191491.0,6211956510246.0,7990076948983.0,9057647206985.0,10537019113380.0
2. Trả trước cho người bán ngắn hạn,274779131899.0,459336196478.0,400707131836.0,292916357080.0,482074732731.0,610379845664.0
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,318339389202.0,197972680487.0,168939964952.0,199252243559.0,176770894412.0,136097256629.0
5. Phải thu về cho vay ngắn hạn,394176861.0,185532228683.0,34762220000.0,882560901.0,515430000.0,9808117590.0
6. Phải thu ngắn hạn khác,491315953067.0,480833352415.0,595813030192.0,719203074569.0,869491618296.0,707751585399.0
7. Dự phòng phải thu ngắn hạn khó đòi,-361515614753,-622654786183,-529995962239,-699436023253,-912156645080,-619531925859
8. Tài sản Thiếu chờ xử lý,,,,,,
IV. Hàng tồn kho,1284200733943.0,1290091524352.0,1507342901619.0,1965787736563.0,1593411075233.0,1856756949030.0
1. Hàng tồn kho,1349958901393.0,1405083502315.0,1623315328554.0,2121118039562.0,1724956924671.0,1990224486513.0
2. Dự phòng giảm giá hàng tồn kho,-65758167450,-114991977963,-115972426935,-155330302999,-131545849438,-133467537483
V.Tài sản ngắn hạn khác,996357466471.0,934876658901.0,580281075542.0,981616871467.0,1054635398068.0,1197007778928.0
1. Chi phí trả trước ngắn hạn,692500771861.0,621038227150.0,290950472969.0,409346699247.0,449245737865.0,479707218558.0
2. Thuế GTGT được khấu trừ,175754512449.0,268314490280.0,256817647142.0,392864305787.0,528984574991.0,648697117785.0
3. Thuế và các khoản khác phải thu Nhà nước,128102182161.0,45523941471.0,32512955431.0,179405866433.0,76405085212.0,68603442585.0
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
5. Tài sản ngắn hạn khác,,,,,,
B. TÀI SẢN DÀI HẠN,14414988134764.0,16121833690263.0,18579567995029.0,20712692658989.0,23577075781023.0,26464052832167.0
I. Các khoản phải thu dài hạn,262484590350.0,242872863326.0,167244119883.0,225090876189.0,247392102550.0,331646166008.0
1. Phải thu dài hạn của khách hàng,,,,,,
2. Trả trước cho người bán dài hạn,380000000.0,380000000.0,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,
5. Phải thu về cho vay dài hạn,47427917600.0,93992225574.0,2268758773.0,1189922137.0,,2509722351.0
6. Phải thu dài hạn khác,269405846568.0,203229811570.0,219704534928.0,276273436689.0,299764585187.0,381508926294.0
7. Dự phòng phải thu dài hạn khó đòi,-54729173818,-54729173818,-54729173818,-52372482637,-52372482637,-52372482637
II.Tài sản cố định,7492167954088.0,8317822707614.0,10398837546784.0,12032914964907.0,13643232649833.0,14816131186204.0
1. Tài sản cố định hữu hình,6295261846210.0,7219551625765.0,9260934699063.0,10714231138520.0,12382116875249.0,12774567961718.0
- Nguyên giá,11301061772211.0,12945570337275.0,16080827716168.0,19007982397113.0,22288962278190.0,24457733666511.0
- Giá trị hao mòn lũy kế,-5005799926001,-5726018711510,-6819893017105,-8293751258593,-9906845402941,-11683165704793
2. Tài sản cố định thuê tài chính,2845085816.0,2902077617.0,4842789874.0,31623636433.0,4018633151.0,2042708364.0
- Nguyên giá,6057653223.0,6031445271.0,8002891607.0,54439419528.0,8032465332.0,5716034788.0
- Giá trị hao mòn lũy kế,-3212567407,-3129367654,-3160101733,-22815783095,-4013832181,-3673326424
3. Tài sản cố định vô hình,1194061022062.0,1095369004232.0,1133060057847.0,1287060189954.0,1257097141433.0,2039520516122.0
- Nguyên giá,1973814359687.0,2036967631495.0,2249106647011.0,2547883324785.0,2595586732247.0,3656302027788.0
- Giá trị hao mòn lũy kế,-779753337625,-941598627263,-1116046589164,-1260823134831,-1338489590814,-1616781511666
III. Bất động sản đầu tư,,,,,,
- Nguyên giá,,,,,,
- Giá trị hao mòn lũy kế,,,,,,
IV. Tài sản dở dang dài hạn,1650470873492.0,2373393296565.0,1290598745684.0,1062184742251.0,1315270136003.0,2559766724411.0
1. Chi phí sản xuất kinh doanh dở dang dài hạn,,,,,,
2. Chi phí xây dựng cơ bản dở dang,1650470873492.0,2373393296565.0,1290598745684.0,1062184742251.0,1315270136003.0,2559766724411.0
V. Đầu tư tài chính dài hạn,2496552054488.0,2581174954052.0,3101993693319.0,3238299217787.0,3335009108332.0,3318095237260.0
1. Đầu tư vào công ty con,,,,,,
2. Đầu tư vào công ty liên kết liên doanh,1912712694571.0,1980817143237.0,2018005439382.0,2205736337693.0,2107616686383.0,2281222436752.0
3. Đầu tư góp vốn vào đơn vị khác,893623994517.0,903457236286.0,1931006629408.0,2399073118584.0,2830348813038.0,3393737969842.0
4. Dự phòng đầu tư tài chính dài hạn,-309784634600,-303299425471,-847218375471,-1376710238490,-1623156391089,-2357065169334
5. Đầu tư nắm giữ đến ngày đáo hạn,,200000000.0,200000000.0,10200000000.0,20200000000.0,200000000.0
VI. Tài sản dài hạn khác,2513312662346.0,2606569868706.0,3620893889359.0,4154202857855.0,5036171784305.0,5438413518284.0
1. Chi phí trả trước dài hạn,2247131962711.0,2267066059274.0,2972696947589.0,3488252134893.0,3391434748762.0,3765187625417.0
2. Tài sản thuế thu nhập hoãn lại,40251284363.0,139469584405.0,182211531443.0,258005875001.0,360946956414.0,575767686189.0
3. Thiết bị vật tư phụ tùng thay thế dài hạn,,,,,,
4. Tài sản dài hạn khác,,,,,,
5. Lợi thế thương mại,225929415272.0,200034225027.0,465985410327.0,407944847961.0,1283790079129.0,1097458206678.0
TỔNG CỘNG TÀI SẢN,33394164263694.0,41734323235194.0,53697940895875.0,51650403735130.0,60282827532899.0,71999995678620.0
NGUỒN VỐN,,,,,,
C. NỢ PHẢI TRẢ,16594874862688.0,23128655834466.0,32279955665838.0,26294279047318.0,30349816316666.0,36272455573820.0
I. Nợ ngắn hạn,16102256902439.0,22364710509820.0,29761106035257.0,24521161696202.0,29651673556227.0,34836184067740.0
1. Phải trả người bán ngắn hạn,2641797326788.0,2824505552359.0,2865815039581.0,3209205494368.0,2602977290710.0,4423912840298.0
2. Người mua trả tiền trước ngắn hạn,398628905824.0,465157577125.0,710658541296.0,491097603761.0,602010036721.0,562066755666.0
3. Thuế và các khoản phải nộp nhà nước,554461605696.0,645972209996.0,517652708809.0,670648917592.0,1432356605157.0,2298821801748.0
4. Phải trả người lao động,1278884909353.0,1968364078549.0,2926228655285.0,3276698433947.0,3734341060086.0,4341013546853.0
5. Chi phí phải trả ngắn hạn,746853608766.0,762365483261.0,829126223397.0,807640094658.0,848293082410.0,1241089122260.0
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,39251428042.0,64245054184.0,89224688468.0,78663541041.0,78456375540.0,92738882375.0
8. Doanh thu chưa thực hiện ngắn hạn,1827319525947.0,1962878574530.0,2530369295558.0,3200401361855.0,3620205460042.0,4224649366399.0
9. Phải trả ngắn hạn khác,387440116553.0,744816892234.0,555467321694.0,568807386283.0,1015101605957.0,874015837328.0
10. Vay và nợ thuê tài chính ngắn hạn,7513635654008.0,12062410192740.0,17799441187777.0,10904344845014.0,13837894474107.0,14446238451323.0
11. Dự phòng phải trả ngắn hạn,174566812252.0,211596795175.0,112413880560.0,251132995783.0,417401434437.0,496600145127.0
