Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,30436936909894.0,56747258197010.0,94154859648304.0,80514708725456.0,82716439173043.0,
I. Tiền và các khoản tương đương tiền,4544900252204.0,13696099298228.0,22471375562130.0,8324588920227.0,12252001160884.0,
1. Tiền,1678314252204.0,2094314298228.0,6316299666510.0,3458049733104.0,3771595160884.0,
2. Các khoản tương đương tiền,2866586000000.0,11601785000000.0,16155075895620.0,4866539187123.0,8480406000000.0,
II. Các khoản đầu tư tài chính ngắn hạn,1374340352910.0,8126992675380.0,18236152616078.0,26268246676354.0,22177303502481.0,
1. Chứng khoán kinh doanh,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,1374340352910.0,8126992675380.0,18236152616078.0,26268246676354.0,22177303502481.0,
III. Các khoản phải thu ngắn hạn,3561397190688.0,6124790460291.0,7662680796645.0,9892867373309.0,10702136439996.0,
1. Phải thu ngắn hạn của khách hàng,2699937350329.0,3949486943250.0,4973095672343.0,2958587125337.0,5999539831497.0,
2. Trả trước cho người bán ngắn hạn,757832561191.0,1303037835829.0,1722371823278.0,5366251939739.0,2583940446585.0,
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
5. Phải thu về cho vay ngắn hạn,,,23521740500.0,124200000000.0,203600000000.0,
6. Phải thu ngắn hạn khác,139273246353.0,910365502671.0,981799066828.0,1482978249031.0,1961601875298.0,
7. Dự phòng phải thu ngắn hạn khó đòi,-37145790132,-39336197606,-39275168162,-41074336139,-46628415158,
8. Tài sản Thiếu chờ xử lý,1499822947.0,1236376147.0,1167661858.0,1924395341.0,82701774.0,
IV. Hàng tồn kho,19411922748095.0,26286822229202.0,42134493932210.0,34491111096123.0,34504487406261.0,
1. Hàng tồn kho,19480666530260.0,26373360826788.0,42370012405544.0,35727277739296.0,34628367844950.0,
2. Dự phòng giảm giá hàng tồn kho,-68743782165,-86538597586,-235518473334,-1236166643173,-123880438689,
V.Tài sản ngắn hạn khác,1544376365997.0,2512553533909.0,3650156741241.0,1537894659443.0,3080510663421.0,
1. Chi phí trả trước ngắn hạn,118551289085.0,141398046799.0,296697348350.0,320077470557.0,330834978197.0,
2. Thuế GTGT được khấu trừ,1400159900793.0,2357338685110.0,3335690250424.0,1117646951943.0,2737971196700.0,
3. Thuế và các khoản khác phải thu Nhà nước,25665176119.0,13816802000.0,17769142467.0,100170236943.0,11704488524.0,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
5. Tài sản ngắn hạn khác,,,,,,
B. TÀI SẢN DÀI HẠN,71339093190006.0,74764176191827.0,84081562709945.0,89820810782676.0,105066147390758.0,
I. Các khoản phải thu dài hạn,27717594984.0,305165547431.0,809234947969.0,894484456379.0,1880922130348.0,
1. Phải thu dài hạn của khách hàng,,,,,,
2. Trả trước cho người bán dài hạn,,,,,1004491555731.0,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,
5. Phải thu về cho vay dài hạn,4910346000.0,96007238800.0,118401369280.0,101693561714.0,95351026613.0,
6. Phải thu dài hạn khác,22807248984.0,209158308631.0,690833578689.0,792790894665.0,781079548004.0,
7. Dự phòng phải thu dài hạn khó đòi,,,,,,
