Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,13912174569312.0,21403279332062.0,25684222720417.0,27674080297628.0,25029443704757.0,
I. Tiền và các khoản tương đương tiền,652005005791.0,1049757121957.0,2562478285805.0,1683149405060.0,841304457657.0,
1. Tiền,550470450445.0,889890633358.0,728220230961.0,1401510923666.0,314837340778.0,
2. Các khoản tương đương tiền,101534555346.0,159866488599.0,1834258054844.0,281638481394.0,526467116879.0,
II. Các khoản đầu tư tài chính ngắn hạn,2874095600.0,1939653239000.0,2015611338385.0,2441801461721.0,1864234663420.0,
1. Chứng khoán kinh doanh,7490461369.0,1862358461369.0,1862358461369.0,1862358461369.0,1862358461369.0,
2. Dự phòng giảm giá chứng khoán kinh doanh,-6616365769,-5305222369,-2308273169,-6226144519,-5473797949,
3. Đầu tư nắm giữ đến ngày đáo hạn,2000000000.0,82600000000.0,155561150185.0,585669144871.0,7350000000.0,
III. Các khoản phải thu ngắn hạn,5493191454059.0,6637765390090.0,9345615937801.0,10895901944840.0,9662549880342.0,
1. Phải thu ngắn hạn của khách hàng,1353873386238.0,1384869373085.0,1927952983605.0,957696732765.0,615242726081.0,
2. Trả trước cho người bán ngắn hạn,2442883530085.0,2701142324970.0,2877319303149.0,3564526371175.0,3273094688035.0,
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
5. Phải thu về cho vay ngắn hạn,391712488097.0,925080022356.0,2304099614559.0,2762411740790.0,2384858032880.0,
6. Phải thu ngắn hạn khác,1312056030289.0,1634007650329.0,2252661317138.0,3654794506950.0,3496138801296.0,
7. Dự phòng phải thu ngắn hạn khó đòi,-7333980650,-7333980650,-16417280650,-43527406840,-106784367950,
8. Tài sản Thiếu chờ xử lý,,,,,,
IV. Hàng tồn kho,7547758770653.0,11533861446985.0,11515237946621.0,12330243270680.0,12218764105774.0,
1. Hàng tồn kho,7547758770653.0,11533861446985.0,11515237946621.0,12330243270680.0,12218764105774.0,
2. Dự phòng giảm giá hàng tồn kho,,,,,,
V.Tài sản ngắn hạn khác,216345243209.0,242242134030.0,245279211805.0,322984215327.0,442590597564.0,
