Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,16075192778306.0,16897192989427.0,18420179698256.0,24925080975647.0,29041954766360.0,
I. Tiền và các khoản tương đương tiền,5083277330894.0,7069700305112.0,8223693034528.0,8251731998519.0,8439697613959.0,
1. Tiền,170377330894.0,927095604180.0,263693034528.0,509653505974.0,689471208936.0,
2. Các khoản tương đương tiền,4912900000000.0,6142604700932.0,7960000000000.0,7742078492545.0,7750226405023.0,
II. Các khoản đầu tư tài chính ngắn hạn,657920790416.0,788595201755.0,531217428970.0,1649811786170.0,2390860369713.0,
1. Chứng khoán kinh doanh,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,657920790416.0,788595201755.0,531217428970.0,1649811786170.0,2390860369713.0,
III. Các khoản phải thu ngắn hạn,8714021377973.0,7195677600318.0,5799389305021.0,12537524330624.0,14560455738875.0,
1. Phải thu ngắn hạn của khách hàng,8938119337561.0,7776376709973.0,5343081983110.0,9767631705491.0,12710473335096.0,
2. Trả trước cho người bán ngắn hạn,120471089910.0,97118304273.0,182098259326.0,2074496619929.0,1274052578149.0,
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,
6. Phải thu ngắn hạn khác,312915441439.0,323124628598.0,355455711956.0,794087282634.0,1092912475273.0,
7. Dự phòng phải thu ngắn hạn khó đòi,-657484490937,-1000942042526,-81246649371,-98691277430,-516982649643,
8. Tài sản Thiếu chờ xử lý,,,,,,
IV. Hàng tồn kho,1427591320436.0,1727999115630.0,1837762461182.0,2085774441788.0,2167403571132.0,
1. Hàng tồn kho,1434323555929.0,1736252781133.0,1837762461182.0,2085774441788.0,2167403571132.0,
2. Dự phòng giảm giá hàng tồn kho,-6732235493,-8253665503,,,,
V.Tài sản ngắn hạn khác,192381958587.0,115220766612.0,2028117468555.0,400238418546.0,1483537472681.0,
1. Chi phí trả trước ngắn hạn,29273621756.0,50945330946.0,1608342332820.0,75219631891.0,75215542846.0,
2. Thuế GTGT được khấu trừ,161053278815.0,63987739528.0,283285031001.0,325018786655.0,1408321929835.0,
3. Thuế và các khoản khác phải thu Nhà nước,2055058016.0,287696138.0,136490104734.0,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
5. Tài sản ngắn hạn khác,,,,,,
B. TÀI SẢN DÀI HẠN,39620509755655.0,37152953610146.0,34556738258669.0,31918163879143.0,41320135548249.0,
I. Các khoản phải thu dài hạn,3022294619.0,3262294619.0,298163000.0,402027000.0,442027000.0,
1. Phải thu dài hạn của khách hàng,1268440794.0,1268440794.0,,,,
2. Trả trước cho người bán dài hạn,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,
6. Phải thu dài hạn khác,1753853825.0,1993853825.0,298163000.0,402027000.0,442027000.0,
7. Dự phòng phải thu dài hạn khó đòi,,,,,,
II.Tài sản cố định,37319569436868.0,34614390170422.0,31868871223944.0,29155161436660.0,26401678076837.0,
1. Tài sản cố định hữu hình,37249074787530.0,34547539161652.0,31834870010707.0,29123272689045.0,26362420358359.0,
- Nguyên giá,69502840902510.0,69598352871503.0,69669576957275.0,69759416566918.0,69803122582501.0,
- Giá trị hao mòn lũy kế,-32253766114980,-35050813709851,-37834706946568,-40636143877873,-43440702224142,
2. Tài sản cố định thuê tài chính,,,,,,
- Nguyên giá,,,,,,
- Giá trị hao mòn lũy kế,,,,,,
3. Tài sản cố định vô hình,70494649338.0,66851008770.0,34001213237.0,31888747615.0,39257718478.0,
- Nguyên giá,113123594604.0,120869485394.0,92706318727.0,94746108727.0,103936732947.0,
- Giá trị hao mòn lũy kế,-42628945266,-54018476624,-58705105490,-62857361112,-64679014469,
III. Bất động sản đầu tư,,,,,,
- Nguyên giá,17545622940.0,17545622940.0,,,,
- Giá trị hao mòn lũy kế,-17545622940,-17545622940,,,,
IV. Tài sản dở dang dài hạn,217166328196.0,250987647245.0,405420688181.0,935634370310.0,9031969199854.0,
1. Chi phí sản xuất kinh doanh dở dang dài hạn,,,,,,
2. Chi phí xây dựng cơ bản dở dang,217166328196.0,250987647245.0,405420688181.0,935634370310.0,9031969199854.0,
V. Đầu tư tài chính dài hạn,982538690891.0,1027824922471.0,827903601323.0,877631146763.0,959549465097.0,
1. Đầu tư vào công ty con,,,,,,
2. Đầu tư vào công ty liên kết liên doanh,416643121743.0,458974091681.0,449829926176.0,503051846890.0,584970165224.0,
3. Đầu tư góp vốn vào đơn vị khác,604520976073.0,604520976073.0,413573456500.0,399355456500.0,399355456500.0,
4. Dự phòng đầu tư tài chính dài hạn,-38625406925,-35670145283,-35499781353,-24776156627,-24776156627,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,
VI. Tài sản dài hạn khác,1098213005081.0,1256488575389.0,1454244582221.0,949334898410.0,4926496779461.0,
1. Chi phí trả trước dài hạn,466948731741.0,564711042501.0,649881386297.0,262053646682.0,4223720717432.0,
2. Tài sản thuế thu nhập hoãn lại,3937045171.0,135622632816.0,14592198454.0,,76335415657.0,
3. Thiết bị vật tư phụ tùng thay thế dài hạn,618325227296.0,554089718607.0,789770997470.0,687281251728.0,626440646372.0,
4. Tài sản dài hạn khác,,,,,,
5. Lợi thế thương mại,9002000873.0,2065181465.0,,,,
TỔNG CỘNG TÀI SẢN,55695702533961.0,54050146599573.0,52976917956925.0,56843244854790.0,70362090314609.0,
NGUỒN VỐN,,,,,,
C. NỢ PHẢI TRẢ,26186388222756.0,22783553220099.0,21851540246332.0,23561794352453.0,36242661143689.0,
I. Nợ ngắn hạn,17063695864858.0,16479836233321.0,17747581718530.0,18325681327490.0,26785158579904.0,
1. Phải trả người bán ngắn hạn,4201761470833.0,4649173698344.0,7239989131772.0,7346398731673.0,15947202467143.0,
2. Người mua trả tiền trước ngắn hạn,20791330544.0,22183434489.0,5605664403.0,3785333991.0,900883584.0,
3. Thuế và các khoản phải nộp nhà nước,297110517686.0,293127810087.0,227349134645.0,250217043700.0,171480883664.0,
4. Phải trả người lao động,175278868740.0,218642140172.0,231720643808.0,221869370563.0,286804533596.0,
5. Chi phí phải trả ngắn hạn,1608992390404.0,1090647961516.0,1017229628854.0,1931211006270.0,1361848076612.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,1255138330.0,1005508387.0,,36818183.0,,
9. Phải trả ngắn hạn khác,1327867877294.0,1980644729308.0,2352555482888.0,2653067850408.0,2688405796712.0,
10. Vay và nợ thuê tài chính ngắn hạn,9157536870815.0,7018700714605.0,5704807422912.0,5635216330148.0,5506591086310.0,
11. Dự phòng phải trả ngắn hạn,148406550954.0,1175972431723.0,918113948095.0,205455087777.0,717886349870.0,
12. Quỹ khen thưởng phúc lợi,124694849258.0,29737804690.0,50210661153.0,78423754777.0,104038502413.0,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,9122692357898.0,6303716986778.0,4103958527802.0,5236113024963.0,9457502563785.0,
1. Phải trả người bán dài hạn,,,,,,
