Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,139555054000000.0,102312109000000.0,94437005000000.0,196535228994248.0,242340588560323.0,
I. Tiền và các khoản tương đương tiền,13332299000000.0,13713651000000.0,4625760000000.0,10816782940367.0,14103181537333.0,
1. Tiền,2788220000000.0,4146738000000.0,589868000000.0,1844902238859.0,13121831420557.0,
2. Các khoản tương đương tiền,10544079000000.0,9566913000000.0,4035892000000.0,8971880701508.0,981350116776.0,
II. Các khoản đầu tư tài chính ngắn hạn,360611000000.0,2054219000000.0,4979444000000.0,6296725097041.0,3833947675197.0,
1. Chứng khoán kinh doanh,,359322000000.0,2326552000000.0,2352947324471.0,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,360611000000.0,1694897000000.0,2652892000000.0,3943777772570.0,3833947675197.0,
III. Các khoản phải thu ngắn hạn,47467976000000.0,34592470000000.0,37750127000000.0,96208736516787.0,132871089579341.0,
1. Phải thu ngắn hạn của khách hàng,8811344000000.0,10674408000000.0,15248468000000.0,15044170367902.0,19513021314004.0,
2. Trả trước cho người bán ngắn hạn,8802736000000.0,8504424000000.0,8580390000000.0,14830404089629.0,17430699880436.0,
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
5. Phải thu về cho vay ngắn hạn,16507454000000.0,8272493000000.0,3921463000000.0,5039256272963.0,4944649985299.0,
6. Phải thu ngắn hạn khác,13465638000000.0,7190939000000.0,10143797000000.0,61530117285206.0,91205974739637.0,
7. Dự phòng phải thu ngắn hạn khó đòi,-119196000000,-49794000000,-143991000000,-235211498913,-223256340035,
8. Tài sản Thiếu chờ xử lý,,,,,,
IV. Hàng tồn kho,60296848000000.0,42983662000000.0,28578815000000.0,64362407308005.0,55317711673145.0,
1. Hàng tồn kho,60306616000000.0,43021241000000.0,28645955000000.0,64414042946452.0,55371864918817.0,
2. Dự phòng giảm giá hàng tồn kho,-9768000000,-37579000000,-67140000000,-51635638447,-54153245672,
V.Tài sản ngắn hạn khác,18097320000000.0,8968107000000.0,18502859000000.0,18850577132048.0,36214658095307.0,
1. Chi phí trả trước ngắn hạn,2089245000000.0,1784595000000.0,1550691000000.0,5316477254497.0,1347674796422.0,
2. Thuế GTGT được khấu trừ,673229000000.0,309066000000.0,433669000000.0,462667440915.0,873204607302.0,
3. Thuế và các khoản khác phải thu Nhà nước,41933000000.0,41971000000.0,22330000000.0,36814117636.0,41289849600.0,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
5. Tài sản ngắn hạn khác,15292913000000.0,6832475000000.0,16496169000000.0,13034618319000.0,33952488841983.0,
B. TÀI SẢN DÀI HẠN,57685974000000.0,113014268000000.0,136079466000000.0,165277418071312.0,202290085940729.0,
I. Các khoản phải thu dài hạn,8114996000000.0,11084368000000.0,14955143000000.0,22797226380949.0,33800119010735.0,
1. Phải thu dài hạn của khách hàng,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,
5. Phải thu về cho vay dài hạn,7863900000000.0,4130000000000.0,8937663000000.0,1568000000000.0,1050800000000.0,
6. Phải thu dài hạn khác,251096000000.0,6954368000000.0,6017480000000.0,21229226380949.0,32749319010735.0,
7. Dự phòng phải thu dài hạn khó đòi,,,,,,
II.Tài sản cố định,690347000000.0,5906615000000.0,7497824000000.0,9339806257224.0,11671412015025.0,
1. Tài sản cố định hữu hình,624738000000.0,5683205000000.0,6271368000000.0,8225149030024.0,10619033955985.0,
- Nguyên giá,678311000000.0,5873264000000.0,6856426000000.0,9269588928961.0,12261717539789.0,
- Giá trị hao mòn lũy kế,-53573000000,-190059000000,-585058000000,-1044439898937,-1642683583804,
2. Tài sản cố định thuê tài chính,,,,,,
- Nguyên giá,,,,,,
- Giá trị hao mòn lũy kế,,,,,,
3. Tài sản cố định vô hình,65609000000.0,223410000000.0,1226456000000.0,1114657227200.0,1052378059040.0,
- Nguyên giá,108952000000.0,312732000000.0,1391675000000.0,1368945064438.0,1381279326030.0,
- Giá trị hao mòn lũy kế,-43343000000,-89322000000,-165219000000,-254287837238,-328901266990,
III. Bất động sản đầu tư,6626630000000.0,8699597000000.0,12078894000000.0,15523727537953.0,17036904643079.0,
- Nguyên giá,6959536000000.0,9231822000000.0,13058837000000.0,16933397125735.0,18824483582234.0,
- Giá trị hao mòn lũy kế,-332906000000,-532225000000,-979943000000,-1409669587782,-1787578939155,
IV. Tài sản dở dang dài hạn,28212527000000.0,32361351000000.0,45032886000000.0,50683336008961.0,60790103984563.0,
1. Chi phí sản xuất kinh doanh dở dang dài hạn,,,,,,
2. Chi phí xây dựng cơ bản dở dang,28212527000000.0,32361351000000.0,45032886000000.0,50683336008961.0,60790103984563.0,
V. Đầu tư tài chính dài hạn,773312000000.0,9755842000000.0,10940392000000.0,7491325276164.0,7760264656114.0,
1. Đầu tư vào công ty con,,,,,,
