Chỉ tiêu,2019,2020,2021,2022,2023,2024
TÀI SẢN,,,,,,
A- TÀI SẢN NGẮN HẠN,24721565376552.0,29665725805058.0,36109910649785.0,31560382174201.0,,
I. Tiền và các khoản tương đương tiền,2665194638452.0,2111242815581.0,2348551874348.0,2299943527624.0,,
1. Tiền,2378583764655.0,863853260384.0,1187350251579.0,1327429518437.0,,
2. Các khoản tương đương tiền,286610873797.0,1247389555197.0,1161201622769.0,972514009187.0,,
II. Các khoản đầu tư tài chính ngắn hạn,12435744328964.0,17313679774893.0,21025735779475.0,17414055328683.0,,
1. Chứng khoán kinh doanh,1153041048.0,1124178861.0,1119781812.0,1159355253.0,,
2. Dự phòng giảm giá chứng khoán kinh doanh,-840586787,-936520806,-666201430,-689745197,,
3. Đầu tư nắm giữ đến ngày đáo hạn,12435431874703.0,17313492116838.0,21025282199093.0,17413585718627.0,,
III. Các khoản phải thu ngắn hạn,4503154728959.0,5187253172150.0,5822028742791.0,6100402870854.0,,
1. Phải thu ngắn hạn của khách hàng,3474498518959.0,4173563213813.0,4367766482060.0,4633942510271.0,,
2. Trả trước cho người bán ngắn hạn,576013061394.0,546236562342.0,655822646219.0,589439884812.0,,
3. Phải thu nội bộ ngắn hạn,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
5. Phải thu về cho vay ngắn hạn,31170336327.0,150000000.0,,,,
6. Phải thu ngắn hạn khác,438267517904.0,483737475103.0,810697107773.0,890466200571.0,,
7. Dự phòng phải thu ngắn hạn khó đòi,-16794705625,-16434079108,-12257493261,-13445724800,,
8. Tài sản Thiếu chờ xử lý,,,,,,
IV. Hàng tồn kho,4983044403917.0,4905068613616.0,6773071634017.0,5537563396117.0,,
1. Hàng tồn kho,4996114799978.0,4952848688011.0,6820486391670.0,5560169453504.0,,
2. Dự phòng giảm giá hàng tồn kho,-13070396061,-47780074395,-47414757653,-22606057387,,
V.Tài sản ngắn hạn khác,134427276260.0,148481428818.0,140522619154.0,208417050923.0,,
1. Chi phí trả trước ngắn hạn,68634341838.0,57414707597.0,57272673101.0,97570693043.0,,
2. Thuế GTGT được khấu trừ,60875991566.0,37158670216.0,79012114725.0,89204099539.0,,
3. Thuế và các khoản khác phải thu Nhà nước,4916942856.0,53908051005.0,4237831328.0,21642258341.0,,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
5. Tài sản ngắn hạn khác,,,,,,
B. TÀI SẢN DÀI HẠN,19978308009482.0,18766754868571.0,17222492788434.0,16922282062019.0,,
I. Các khoản phải thu dài hạn,21169968995.0,19974111715.0,16695104495.0,38422722715.0,,
1. Phải thu dài hạn của khách hàng,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,
5. Phải thu về cho vay dài hạn,545312000.0,,,,,
