Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Doanh thu hoạt động tài chính,Chi phí tài chính,Trong đó: Chi phí lãi vay,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý doanh  nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận khác,Lãi/ lỗ từ công ty liên doanh (trước 2015),Tổng lợi nhuận kế toán trước thuế,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5.0,2020.0,Đã kiểm toán,728582496415.0,728581046415.0,79596121017.0,9381676739.0,-924890156.0,0.0,0.0,-5218939576.0,-32226921969.0,50607046055.0,-23968920.0,0.0,50583077135.0,-8476049967.0,42107027168.0,0.0,42107027168.0,5604.0
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5.0,2021.0,Đã kiểm toán,650148136248.0,650148136248.0,71416360991.0,7638558828.0,-406023529.0,0.0,0.0,-4750944770.0,-33817431627.0,40080519893.0,1669476035.0,0.0,41749995928.0,-7140739186.0,34609256742.0,0.0,34609256742.0,4134.0
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5.0,2022.0,Đã kiểm toán,719280459321.0,719280459321.0,93373883385.0,13562826157.0,-1296492589.0,0.0,0.0,-5894142351.0,-56306851021.0,43439223581.0,413151019.0,0.0,43852374600.0,-7185641155.0,36666733445.0,0.0,36666733445.0,4289.0
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5.0,2023.0,Đã kiểm toán,719516620989.0,719516620989.0,83084840309.0,14009961405.0,-145074523.0,0.0,0.0,-5331702637.0,-44306626843.0,47311397711.0,-455447985.0,0.0,46855949726.0,-7226764138.0,39629185588.0,0.0,39629185588.0,4725.0
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,,,,,,,,,,,,,,,,,,,,,
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5.0,2020.0,Chưa kiểm toán,7438249657913.0,7428557015044.0,776935221364.0,168671082125.0,-228577022279.0,-201246469116.0,16704296145.0,-255844520030.0,-166965892910.0,310923164415.0,7825352131.0,0.0,318748516546.0,-35575705867.0,283172810679.0,20931991942.0,262240818737.0,1310.0
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5.0,2021.0,Chưa kiểm toán,13154009928330.0,13143109864001.0,1301375383462.0,213876129052.0,-199733463745.0,-151665660549.0,22873141538.0,-738538104564.0,-194751557339.0,405101528404.0,-7233476408.0,0.0,397868051996.0,-73725027577.0,324143024419.0,33902012122.0,290241012297.0,813.0
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5.0,2022.0,Chưa kiểm toán,15314698238896.0,15290297073087.0,1086239883713.0,214482862553.0,-257402705272.0,-173679772675.0,57678939569.0,-666097260650.0,-247607549844.0,187294170069.0,-1228058366.0,0.0,186066111703.0,-68774843766.0,117291267937.0,-35308063779.0,152599331716.0,433.0
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5.0,2023.0,Đã kiểm toán,12628191473898.0,12621514144947.0,1108693322770.0,242681115061.0,-239294342399.0,-190476045845.0,52941132765.0,-511055878824.0,-285281847427.0,368683501946.0,9212053003.0,0.0,377895554949.0,-68701731815.0,309193823134.0,19783274450.0,289410548684.0,757.0
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5.0,2024.0,Chưa kiểm toán,12787838156129.0,12782355466948.0,1488874039290.0,271169064351.0,-209308504318.0,-159531127377.0,56719757316.0,-721559435098.0,-475034419299.0,410860502242.0,-2930797432.0,0.0,407929704810.0,-97802812463.0,310126892347.0,-51706773005.0,361833665352.0,0.0
5,3,AAH,Than Hợp Nhất,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,5.0,2023.0,Đã kiểm toán,232366388430.0,232366388430.0,37840571153.0,7321799769.0,-2460598527.0,-2460598527.0,0.0,-5822887280.0,-20032584472.0,16846300643.0,-1642189889.0,0.0,15204110754.0,-3562218132.0,11641892622.0,0.0,11641892622.0,99.0
5,3,AAH,Than Hợp Nhất,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,5.0,2024.0,Chưa kiểm toán,1172284664472.0,1171901547172.0,50413302276.0,7733447842.0,-2731339625.0,-2731339625.0,0.0,-4554114723.0,-14197901944.0,36663393826.0,-10639608218.0,0.0,26023785608.0,-8197598369.0,17826187239.0,0.0,17826187239.0,151.0
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5.0,2020.0,Chưa kiểm toán,122651245150.0,120886522630.0,146997282.0,3002310313.0,-225236031.0,-215894445.0,0.0,-8182671805.0,-7866720432.0,-13125320673.0,1129995508.0,0.0,-11995325165.0,27979306.0,-11967345859.0,0.0,-11967345859.0,-1145.0
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5.0,2021.0,Chưa kiểm toán,134110305244.0,134110305244.0,7471858946.0,4419482077.0,-207910426.0,-99939316.0,0.0,-6242311631.0,-6424610723.0,-983491757.0,1211072111.0,0.0,227580354.0,-2070343.0,225510011.0,0.0,225510011.0,22.0
