Ngành,Chỉ số,2021,2022,2023,2024
Hàng cá nhân,Chu kỳ tiền,127.1891468738,159.8470736793,204.3132359655,222.3655843347
Hàng cá nhân,Tăng trưởng lợi nhuận (%),0.12712759336439347,0.0389184025293671,-0.2939459155264269,0.66267195619889
Hàng cá nhân,Lợi nhuận sau thuế của Cổ đông công ty mẹ,32197724741.0,33450808753.0,23618080149.0,39269119523.0
Hàng cá nhân,Tăng trưởng doanh thu (%),-0.09034250615704315,0.08938099092815832,-0.033734581504974756,0.0024390579122161465
Hàng cá nhân,Doanh thu,763842251412.0,832115228756.0,804044169750.0,806005280044.0
Hàng cá nhân,Vốn hóa,383479595000.0,366200555000.0,448297685000.0,403937685000.0
Hàng cá nhân,EPS (VND),1676.3667514975125,1741.6082675191403,1229.6696308348323,2044.5372105785175
Hàng cá nhân,P/E,17.9658145493,11.2471550579,12.3113853022,17.3676773753
Hàng cá nhân,P/B,1.353466692,1.6360283867,1.9442441862,1.8903471362
Hàng cá nhân,P/S,0.8642119737,1.269007509,2.6446159774,2.7107159052
Hàng cá nhân,P/Cash Flow,14.3708800348,1.7851364854,-9.6496111936,4.2565622761
Hàng cá nhân,Số CP lưu hành,19206850.0,19206850.0,19206850.0,19206850.0
Hàng cá nhân,EV/EBITDA,-6.8228731548,15.0040693637,6.3236669476,18.3867541583
Hàng cá nhân,BVPS (VND),14751.5801356808,11653.9196290907,12004.9275251278,11125.4263687695
Hàng cá nhân,Chỉ số thanh toán tiền mặt,0.1967953804,0.1232971279,0.1253203677,0.2415083533
Hàng cá nhân,Nợ/VCSH,1.26220739,1.2845655472,1.0530425524,1.0948124745
Hàng cá nhân,ROE (%),-0.0320686186,0.0918774714,0.1256810764,0.101943522
Hàng cá nhân,ROA (%),-0.0089178361,-0.0582808602,-0.1045189606,-0.4369227871
Hàng cá nhân,Số ngày thu tiền bình quân,73.787602385,122.8572614484,167.9985470142,183.6046087944
Hàng cá nhân,Số ngày tồn kho bình quân,131.8809055407,111.1482764777,107.9595096865,119.3522094713
Hàng cá nhân,Chỉ số thanh toán nhanh,0.5837188053,0.5777207325,0.5965465941,0.5996473347
Hàng cá nhân,Số ngày thanh toán bình quân,78.4793610519,74.1584642468,71.6448207352,80.591233931
Hàng cá nhân,Biên lợi nhuận gộp (%),0.1167339693,0.229992858,0.2699719203,0.2608424248
Hàng cá nhân,Biên EBIT (%),-0.0229659146,-0.0313547783,-0.0557774634,-0.3610291831
Hàng cá nhân,Biên lợi nhuận ròng (%),-0.0262979823,-0.0454457655,-0.0807163965,-0.3769938571
Hàng cá nhân,Chỉ số thanh toán hiện thời,1.1601249323,1.0466880033,1.0709436441,1.0609685065
Hàng cá nhân,Quay vòng tài sản,1.1215511713,1.2126356619,1.2490872628,1.2423420434
Hàng cá nhân,(Vay NH + DH)/VCSH,0.4769579133,0.3678116797,0.3008621999,0.2861018664
Hàng cá nhân,ROIC (%),0.1967953804,0.1232971279,0.1253203677,0.2415083533
Hàng cá nhân,Vòng quay TSCĐ,5.231812,4.507813,4.889611,5.183277
Khai khoáng,Chu kỳ tiền,33.3476771022,33.8260594084,97.2579070429,50.0680539486
Khai khoáng,Tăng trưởng lợi nhuận (%),0.5066974236373731,1.4452357216753058,0.14809327379255907,-0.5250585299860828
Khai khoáng,Lợi nhuận sau thuế của Cổ đông công ty mẹ,641556290374.0,1568756358688.0,1801078623629.0,855406929117.0
Khai khoáng,Tăng trưởng doanh thu (%),0.07340000034816263,0.6203548476519696,0.21575720790053063,-0.004079373892507621
Khai khoáng,Doanh thu,55646909256803.0,90167739171110.0,109622078817372.0,109174889371002.0
Khai khoáng,Vốn hóa,5321700029940.0,5600646213661.0,8205297567327.0,6181926165900.0
Khai khoáng,EPS (VND),2083.871940300693,3579.4837375352126,3263.336144219869,1745.8064571922835
Khai khoáng,P/E,8.7063155863,3.7648362916,5.4375246495,7.7868531708
Khai khoáng,P/B,1.2798682406,0.8426625969,0.9447905766,0.779062593
Khai khoáng,P/S,0.1513359407,0.0946405912,0.9302985189,0.1234258186
Khai khoáng,P/Cash Flow,1.7711553437,2.3725164426,2.9773848951,6.5089411841
Khai khoáng,Số CP lưu hành,307867426.0,438263301.0,551913301.0,489978099.0
Khai khoáng,EV/EBITDA,4.1715047152,14.4005316384,21.9385740262,22.0389124882
Khai khoáng,BVPS (VND),13505.8333884729,15186.8549135466,15752.8047179388,16213.751859701
Khai khoáng,Chỉ số thanh toán tiền mặt,0.0085127463,0.0275331478,0.0442648619,0.053138187
Khai khoáng,Nợ/VCSH,4.0788150936,2.8813795488,2.4015173956,2.3296585507
Khai khoáng,ROE (%),0.1475541317,0.3278198242,0.2226941678,0.1241354171
Khai khoáng,ROA (%),0.0275565068,0.1034349942,0.0604481166,0.0372001518
Khai khoáng,Số ngày thu tiền bình quân,32.0710713243,41.9159639599,64.8014962796,62.7370118299
Khai khoáng,Số ngày tồn kho bình quân,44.911238783,24.1693380418,62.1591360752,18.5813787787
Khai khoáng,Chỉ số thanh toán nhanh,0.4080972153,0.6886289367,0.897619054,0.7603112857
Khai khoáng,Số ngày thanh toán bình quân,43.6346330051,32.2592425933,29.7027253119,31.25033666
Khai khoáng,Biên lợi nhuận gộp (%),0.0849474889,0.0597875033,0.0884138129,0.0476968366
Khai khoáng,Biên EBIT (%),0.0409382493,0.031939063,0.0394725291,0.0179576191
Khai khoáng,Biên lợi nhuận ròng (%),0.0146775784,0.0184525072,0.0252450595,0.0105707691
Khai khoáng,Chỉ số thanh toán hiện thời,0.7775403236,1.1285736554,1.2898921387,1.2151856975
Khai khoáng,Quay vòng tài sản,2.1371715061,5.0216467594,3.9450524812,4.6379618495
Khai khoáng,(Vay NH + DH)/VCSH,2.4200243735,1.4140057378,1.3398367555,1.2597946211
Khai khoáng,ROIC (%),0.0085127463,0.0275331478,0.0442648619,0.053138187
Khai khoáng,Vòng quay TSCĐ,732.2169,26075.13,135.6741,221.999
Dịch vụ tài chính,Chu kỳ tiền,-24.9874654609,-24.0833975709,-40.6035834724,-34.2143063872
Dịch vụ tài chính,Tăng trưởng lợi nhuận (%),1.7010182465952426,-0.6882567189007631,1.048178544008795,0.14193491981921766
Dịch vụ tài chính,Lợi nhuận sau thuế của Cổ đông công ty mẹ,16923758239962.0,5275867922256.0,10805919479389.0,12339656794269.0
Dịch vụ tài chính,Tăng trưởng doanh thu (%),1.0748639064377647,-0.08998227835617068,-0.02502463030975057,0.10386257040415366
Dịch vụ tài chính,Doanh thu,44726318756520.0,40701742692324.0,39683196628486.0,43804795432174.0
Dịch vụ tài chính,Vốn hóa,216939163058716.0,131988219880347.0,253601118305190.0,251916552471541.0
Dịch vụ tài chính,EPS (VND),2497.6308683054267,626.4259877647386,1148.2523591428817,1023.9652727303679
Dịch vụ tài chính,P/E,13.0790054932,20.3200990935,24.2784886323,20.7004120854
Dịch vụ tài chính,P/B,2.4883344788,1.1764653457,2.0758501425,1.6194686783
Dịch vụ tài chính,P/S,6.0101197259,4.4573048038,8.2156934192,7.1260721827
Dịch vụ tài chính,P/Cash Flow,-4.9614544914,1.2280331575,-179.3532977034,-1.0796413784
Dịch vụ tài chính,Số CP lưu hành,6775924519.0,8422172811.0,9410753127.0,12050854773.0
Dịch vụ tài chính,EV/EBITDA,16.3254322142,13.7501944513,19.5599198885,19.8416299043
Dịch vụ tài chính,BVPS (VND),12600.5182244057,13340.4716062217,13001.1989587941,12924.9643183894
Dịch vụ tài chính,Chỉ số thanh toán tiền mặt,1.6512210708,3.6830075215,3.838211813,1.7505204603
Dịch vụ tài chính,Nợ/VCSH,1.850110315,1.1043433804,1.3528631363,1.3520394282
Dịch vụ tài chính,ROE (%),0.2578671049,0.0778952404,0.0937958444,0.093839337
Dịch vụ tài chính,ROA (%),0.1089674816,0.0303683741,0.0455741831,0.0404149641
Dịch vụ tài chính,Số ngày thu tiền bình quân,0.0,0.0,0.0,0.0
Dịch vụ tài chính,Số ngày tồn kho bình quân,0.0,0.0,0.0,0.0
Dịch vụ tài chính,Chỉ số thanh toán nhanh,4.2742339575,6.1362029273,7.295219217,3.3781767172
Dịch vụ tài chính,Số ngày thanh toán bình quân,24.9874654609,24.0833975709,40.6035834724,34.2143063872
Dịch vụ tài chính,Biên lợi nhuận gộp (%),0.6128135391,0.4565050975,0.6051008827,0.5517641592
Dịch vụ tài chính,Biên EBIT (%),0.5440806129,0.3782941284,0.5115243605,0.4535230697
Dịch vụ tài chính,Biên lợi nhuận ròng (%),0.3995221699,0.1937915113,0.2986812909,0.2708973581
Dịch vụ tài chính,Chỉ số thanh toán hiện thời,4.2742339575,6.1362029273,7.295219217,3.3781767172
Dịch vụ tài chính,Quay vòng tài sản,0.2678602098,0.1706662825,0.1546749697,0.1389877734
Dịch vụ tài chính,(Vay NH + DH)/VCSH,1.3619951829,0.9628290846,1.2310595656,1.2597656562
Dịch vụ tài chính,ROIC (%),1.6512210708,3.6830075215,3.838211813,1.7505204603
Dịch vụ tài chính,Vòng quay TSCĐ,179.9539,78.32008,54.38651,54.4847
Bất động sản,Chu kỳ tiền,3494.5736774665,2369.8558740077,5125.742823537,1203.1234846447
Bất động sản,Tăng trưởng lợi nhuận (%),0.09159359557059488,-0.03858240173790992,-0.025808271909434497,0.001949928638215378
Bất động sản,Lợi nhuận sau thuế của Cổ đông công ty mẹ,61616388841629.0,59239080573702.0,57710222274591.0,57822753089722.0
Bất động sản,Tăng trưởng doanh thu (%),0.12906910287734824,-0.17710084195469114,0.27887132302786655,0.10404656753203456
Bất động sản,Doanh thu,356999627166342.0,293774692617672.0,375700029820067.0,414790328344528.0
Bất động sản,Vốn hóa,1578705588378188.0,881291171642823.0,927825963529440.0,964321196866936.0
Bất động sản,EPS (VND),2237.678438553779,2002.720497235814,1851.4665854673055,1805.3205483545419
Bất động sản,P/E,25.7031868639,15.6372283397,16.1897539162,16.8958591127
Bất động sản,P/B,3.1346681366,1.5789127478,1.4702983446,1.3918663671
Bất động sản,P/S,9.0436352742,5.9437688678,7.6936253065,24.0535406877
Bất động sản,P/Cash Flow,14.4306337011,513.3404214259,17.4874418592,4.1602295713
Bất động sản,Số CP lưu hành,27535854920.0,29579305078.0,31170004756.0,32029078239.0
Bất động sản,EV/EBITDA,35.6902281906,51.721190761,-115.0077346555,17.1001625275
Bất động sản,BVPS (VND),21731.0947907781,21102.3269183956,22432.2219428763,23987.6864422003
Bất động sản,Chỉ số thanh toán tiền mặt,0.264449361,0.2198092912,0.193783884,0.2213645051
Bất động sản,Nợ/VCSH,1.5600864953,1.9236901203,1.8683058114,2.1926430933
Bất động sản,ROE (%),0.1389149685,0.1130019058,0.1065204557,0.108281121
Bất động sản,ROA (%),0.0611472271,0.0492350047,0.0421434321,0.0375881935
Bất động sản,Số ngày thu tiền bình quân,92.3468154583,129.7758283235,152.5405216262,154.7122497831
Bất động sản,Số ngày tồn kho bình quân,3508.5489442969,2391.3768012885,5202.9766430592,1643.9407485476
Bất động sản,Chỉ số thanh toán nhanh,1.122573645,1.0014153016,1.1595028554,1.1359331123
Bất động sản,Số ngày thanh toán bình quân,106.3220822887,151.2967556043,229.7743411484,595.529513686
Bất động sản,Biên lợi nhuận gộp (%),0.3958546271,0.3630024647,0.3771369514,0.3422949024
Bất động sản,Biên EBIT (%),0.2502024106,0.1826505686,0.2078987014,0.1165169278
Bất động sản,Biên lợi nhuận ròng (%),0.2371236481,0.2616692628,0.2226633221,0.1460348817
