Mã,Chỉ số,2020,2021,2022,2023,2024
A32,Biên EBIT (%),5.79,5.05,4.33,4.65,NaN
A32,Biên lợi nhuận gộp (%),10.92,10.98,12.98,11.55,NaN
A32,Biên lợi nhuận ròng (%),5.78,5.32,5.1,5.51,NaN
A32,Chỉ số thanh toán hiện thời,1.45,1.39,1.25,1.35,NaN
A32,Chỉ số thanh toán nhanh,0.68,0.72,0.71,0.77,NaN
A32,Chỉ số thanh toán tiền mặt,0.18,0.34,0.17,0.2,NaN
A32,Đòn bẩy tài chính,2.02,2.22,2.54,2.28,NaN
AAA,Biên EBIT (%),4.77,2.8,1.13,2.47,2.29
AAA,Biên lợi nhuận gộp (%),10.46,9.9,7.1,8.78,11.65
AAA,Biên lợi nhuận ròng (%),3.81,2.47,0.77,2.45,2.43
AAA,Chỉ số thanh toán hiện thời,1.19,1.63,1.76,1.52,1.6
AAA,Chỉ số thanh toán nhanh,0.9,1.29,1.14,1.26,1.21
AAA,Chỉ số thanh toán tiền mặt,0.26,0.61,0.51,0.65,0.6
AAA,Đòn bẩy tài chính,2.13,1.84,1.75,1.94,2.2
AAA,Khả năng chi trả lãi vay,1.76,2.43,0.99,1.64,1.83
AAH,Biên EBIT (%),NaN,NaN,NaN,5.16,2.7
AAH,Biên lợi nhuận gộp (%),NaN,NaN,NaN,16.28,4.3
AAH,Biên lợi nhuận ròng (%),NaN,NaN,NaN,5.01,1.52
AAH,Chỉ số thanh toán hiện thời,NaN,NaN,NaN,2.92,1.6
AAH,Chỉ số thanh toán nhanh,NaN,NaN,NaN,2.02,1.51
AAH,Chỉ số thanh toán tiền mặt,NaN,NaN,NaN,0.21,0.03
AAH,Đòn bẩy tài chính,NaN,NaN,NaN,1.12,1.22
AAH,Khả năng chi trả lãi vay,NaN,NaN,NaN,4.87,11.59
AAM,Biên EBIT (%),-13.15,-3.87,3.27,-6.63,-4.25
AAM,Biên lợi nhuận gộp (%),0.12,5.57,12.86,0.66,2.84
AAM,Biên lợi nhuận ròng (%),-9.9,0.17,7.97,0.51,-4.11
AAM,Chỉ số thanh toán hiện thời,11.05,29.41,22.79,18.99,33.58
AAM,Chỉ số thanh toán nhanh,3.17,13.66,9.54,4.56,14.54
AAM,Chỉ số thanh toán tiền mặt,1.69,11.15,1.29,2.5,12.71
AAM,Đòn bẩy tài chính,1.09,1.03,1.04,1.05,1.03
AAM,Khả năng chi trả lãi vay,-73.66,-51.98,NaN,NaN,NaN
AAS,Biên EBIT (%),0.94,49.49,33.0,23.37,52.72
AAS,Biên lợi nhuận gộp (%),2.22,50.93,35.1,27.78,60.35
AAS,Biên lợi nhuận ròng (%),0.66,39.41,26.0,13.24,19.51
AAS,Chỉ số thanh toán hiện thời,2.11,3.9,2.98,3.53,2.03
AAS,Chỉ số thanh toán tiền mặt,0.86,1.28,0.36,0.6,0.13
AAS,Đòn bẩy tài chính,1.88,1.36,1.5,1.47,2.02
AAS,Khả năng chi trả lãi vay,2.78,190.5,23.91,3.05,2.03
AAT,Biên EBIT (%),8.3,9.0,13.86,4.94,2.81
AAT,Biên lợi nhuận gộp (%),12.57,12.25,15.89,7.86,9.43
AAT,Biên lợi nhuận ròng (%),4.89,6.09,9.26,-0.41,-0.08
AAT,Chỉ số thanh toán hiện thời,1.87,2.97,2.09,2.05,2.39
AAT,Chỉ số thanh toán nhanh,1.68,2.64,2.02,1.93,2.27
AAT,Chỉ số thanh toán tiền mặt,0.21,0.81,0.07,0.01,0.06
AAT,Đòn bẩy tài chính,1.36,1.46,1.44,1.43,1.81
AAT,Khả năng chi trả lãi vay,2.26,4.18,6.93,1.27,1.41
AAV,Biên EBIT (%),2.75,7.56,2.35,-21.52,-44.38
AAV,Biên lợi nhuận gộp (%),9.8,10.18,8.05,4.4,-0.24
AAV,Biên lợi nhuận ròng (%),4.44,6.02,0.71,-23.7,-35.44
AAV,Chỉ số thanh toán hiện thời,2.18,4.96,3.42,7.65,4.48
AAV,Chỉ số thanh toán nhanh,2.01,4.78,3.32,7.47,4.38
AAV,Chỉ số thanh toán tiền mặt,0.02,0.02,0.01,0.01,0.04
AAV,Đòn bẩy tài chính,1.55,1.23,1.33,1.18,1.22
AAV,Khả năng chi trả lãi vay,2.04,11.55,1.75,-2.99,-54.68
ABA,Biên EBIT (%),NaN,NaN,NaN,0.62,0.92
ABA,Biên lợi nhuận gộp (%),NaN,NaN,NaN,12.93,11.7
ABA,Biên lợi nhuận ròng (%),NaN,NaN,NaN,-18.07,-18.64
ABA,Chỉ số thanh toán hiện thời,NaN,NaN,NaN,0.23,0.28
ABA,Chỉ số thanh toán nhanh,NaN,NaN,NaN,0.2,0.22
ABA,Chỉ số thanh toán tiền mặt,NaN,NaN,NaN,0.01,0.02
ABA,Đòn bẩy tài chính,NaN,NaN,NaN,-7.97,-2.76
ABA,Khả năng chi trả lãi vay,NaN,NaN,NaN,0.05,0.06
ABB,Đòn bẩy tài chính,13.06,10.31,9.97,12.03,12.58
ABC,Biên EBIT (%),-5.46,-38.95,-40.72,-0.35,-2.02
ABC,Biên lợi nhuận gộp (%),2.29,3.89,7.41,-0.17,0.09
ABC,Biên lợi nhuận ròng (%),-5.27,-38.67,56.05,2.44,1.26
ABC,Chỉ số thanh toán hiện thời,1.46,0.59,2.96,3.85,2.05
ABC,Chỉ số thanh toán nhanh,1.1,0.44,2.59,3.54,2.03
ABC,Chỉ số thanh toán tiền mặt,0.02,0.01,0.29,0.62,0.62
ABC,Đòn bẩy tài chính,2.43,-4.07,1.37,1.29,1.8
ABC,Khả năng chi trả lãi vay,-38.15,-72.9,-97.35,-1.1,-5.85
