Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
CMG,2024,5,0.7468459421,1.1529122824,0.6245745837845629,1.883279664278253,1.0579422086,3.5310495187,70.52257740479052,12.7754510127,48.0186959252,131.31672434269052,28.5704199122,0.052381441403515756,0.18238732502923852,0.03934381523201452,0.1143924412,0.0773621746,0.0416234828,889037469891,415589932908,0.0,1.2530516727,0.2088423074,0.7463413414,-5.2670359941738765,2.1529122823910907,6340236616800,190397496,20.3114730192,2.2220857121,0.7991308416,8.4584849022,1639.4675053132,14985.9205781204,8.3976018897
CMG,2023,5,0.7907790428000001,1.2236042949,0.6886305025809343,1.7193133559408786,1.056875637,3.2868174959,75.74897239587915,14.829935117,50.4418348079,141.02074232077916,24.6123801029,0.05012929816870795,0.183546615664278,0.043230373920098465,0.128874095,0.0746116478,0.045689129,740977612818,376208516792,0.0,1.1882116517,0.1966147132,0.7400975747,-3.5640825497507183,2.223604294943848,9358829553000,190026996,30.5534592738,3.5936678882,1.2470519306,22.4727574597,1707.303331422447,13704.6609568937,14.1960279336
CMG,2022,5,0.743163612,1.2508284442,0.7518191635831666,1.6153826497045949,1.1778853515,4.3932479426,68.39103323545099,20.8135942237,48.0495835985,137.254211057651,17.5366155445,0.05461206413640455,0.18652577805666898,0.03959076002178733,0.1309774445,0.092552829,0.0466333763,713410332348,415516662388,0.0137931034,1.3200647741,0.1289959385,0.7433882044,-4.704760225336344,2.250828444166894,6525062292000,150001432,22.8190440073,2.6845051696,0.8576000739,13.7762463511,2008.159879287019,16204.1036434706,10.6071742507
CMG,2021,5,0.8720774412000001,1.3147900514,0.4444909005195722,1.3605107445021232,1.0535905024,5.0079750411,75.81373844598527,24.7501626292,54.4527635551,155.01666463028528,14.7473778443,0.05565576104782651,0.17719955567916723,0.040436309770917576,0.0957933244,0.0811257712,0.0426033119,560281289323,325371040650,0.0,1.4824707513,0.1546352744,0.7802285391,-4.901009082264387,2.314790051445738,3999994640000,99999866,17.6735485955,1.8441342798,0.6842119244,7.31099466,2363.964048401825,21690.3944783986,8.9779921267
CMG,2020,5,0.8240961752,1.1752676086,0.5045827206894561,1.2317208737288226,1.0022496797,4.2904423857,85.1993832204514,22.8100082514,53.7201008642,161.72949233605138,16.0017478283,0.049523420292205945,0.1879321916975377,0.03464728248041139,0.0740387957,0.0679520154,0.0347252278,458469201562,243848327309,0.0,1.5212307832,0.1798072933,0.8090053648,-3.0317435340135326,2.1752676085702944,5999991960000,99999866,36.5854471234,3.0606556336,1.2185448507,13.3958394059,1705.999535179377,19603.6428735715,15.0113508661
CMG,2019,5,0.8298743832,1.0874361332,0.49131612834424504,1.1886824679768897,1.2098770162,4.6184744947,86.47883791564611,25.0577037807,48.4762404624,160.01278215874612,14.5663785953,0.05182884076913206,0.18198096389759205,0.02717747014034289,0.0752679275,0.0762315796,0.0328813965,440738078889,260791428813,0.0169779287,1.804085935,0.1600779147,0.9030585579,-4.156705074959851,2.0874361331912055,5889992107400,99999866,45.1628617388,3.0799340461,1.170557884,31.8445867707,1367.5128869772686,19123.7861324334,15.3783411542
CMG,2018,5,0.7409406665,1.6220553051,0.7785682891847643,0.7198064876835355,1.4761032976,5.4032500503,80.35845223286024,22.2647266486,51.6562673094,154.27944619086026,16.3936438907,0.043163503876151005,0.15913191018290715,0.02779471633080853,0.1043527197,0.1021975934,0.0410278724,371234324176,213902708777,0.025466893,1.1601730823,0.1027404878,0.8184668422,-5.178578098717248,2.6220553050928945,4244051869000,72055210,32.4697464414,4.0234000342,0.85640874,15.2078301184,1911.5974831799117,14639.3596208796,12.858891207
CMG,2017,5,0.3712199293,1.4586044702,0.6044498876653035,0.666715716833797,1.746074574,7.22988721,61.496963608263414,19.1988516187,39.2864284558,119.98224368276342,19.0115537768,0.04700322583191436,0.1542599529473016,0.03533367588242467,0.1429142398,0.1329221248,0.0616952331,356078315740,229930398649,0.013582343,1.1564669768,0.2162117868,0.8283583625,-8.212194506048458,2.4586044701923497,3966441031700,67341953,24.1120624705,4.014216898,0.8108346032,21.1186009823,2566.680678343261,14672.8493991702,11.4318224221
CMG,2016,5,0.43001896359999997,1.1594716746,0.5097375198120788,0.6037144808984253,1.8643964287,7.4745624816,50.13681108560961,19.4211520695,26.2097025763,95.76766573140961,18.7939417133,0.03894304157295289,0.13349109414642024,0.02688698276510298,0.1031745681,0.1081697918,0.0501279946,257831100616,167017020020,0.0169779287,1.2396636243,0.1329798886,0.8027216709,-6.194475744257681,2.159471674567489,3966441031700,67341953,35.6838250664,4.4281369033,0.9248475274,23.0010790925,1712.3290466791184,13301.3051054667,16.2942656781
