Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
KBC,2024,5,0.9616743755,1.1666325156,0.01977859795145342,2.6895229467370982,0.0710242135,6.4768134422,84.55923702288838,3188.0094926815,118.0886560341,3390.6573857384883,0.1144915035,0.2613926964403694,0.46238144041846163,0.13759196159583134,0.0207941221,0.0235899283,0.0097723609,890646598472,725566911235,0.0,5.086295058,1.1883253699,3.0647500118,-2.700876610043573,2.1666325156033195,19612301592450,767604759,51.351304506,1.056817502,7.0655267175,17.0270334897,497.5530854727283,24176.359637614,26.0022844584
KBC,2023,5,0.3452582428,0.6534509051,0.022195600359819496,2.6342818315455494,0.1644253745,13.8011698559,51.092410926818985,2329.6957931291,84.3888245257,2465.1770285816187,0.1566728159,0.5130576010658819,0.657721901916068,0.36143245893440157,0.1186015054,0.1207107123,0.0594286674,3015117977460,2882601483450,0.0,3.8045744216,0.4109674553,1.8797132475,-7.592416802917625,1.6534509051431474,20878849444800,767604759,10.2816053685,1.1487065423,3.7161059101,6.9541554853,2645.5012641720737,23678.8065521412,7.8593667905
KBC,2022,5,0.6346441971000001,0.9560379626,0.020475075693204385,2.32483176828324,0.0288359845,3.0956248024,554.1932286508603,6357.4914970859,161.3860788887,7073.07080462546,0.0574125817,-0.2574271484372993,0.2796593779657184,1.6062353248523367,0.1008434582,-0.0095991387,0.046317377,-168467959401,-244624308726,0.0,2.5901958875,0.3318469772,1.3516648033,0.46784452496770473,1.9560379625653195,24371451098250,767604759,15.9671332634,1.5167591019,25.6469734843,-20.0166528107,1988.4596361967058,20932.7901577953,-180.0150469066
KBC,2021,5,0.7787609952000001,0.8924803904,0.015000890169791826,2.158561614853016,0.1561313855,16.8214273733,142.3911087569312,2364.5537525823,31.5575918143,2538.5024531535314,0.1543631646,0.43536279782699305,0.5810236654583896,0.2578632920675212,0.0583279194,0.079590328,0.0287665536,1924234958503,1848542588845,0.0,3.9446699587,0.6795814216,2.1149127858,-3.8463180956356635,1.8710500220421962,13932210241400,575711167,17.8091935681,1.0029663484,3.2812692914,-11.3061032414,1901.7919938488878,24128.4266795158,9.5747620063
KBC,2020,5,0.937107798,1.2327878653,0.024056810877809254,1.387822965246754,0.106962859,8.4350812622,232.3706437117477,2382.0478839018,65.6623368559,2680.0808644694475,0.1532294974,0.17019919728096294,0.3203351987738163,0.10415468829531574,0.0213018437,0.0222984349,0.0111406832,455058587967,366092100303,0.0,3.0742136244,0.4182754083,1.3716764494,-1.8736762127673818,2.232787865267677,28923238953600,475711167,129.1026782735,2.9816480186,13.4466492137,-9.928322624,470.9429797514087,20391.4075774219,73.9208663226
KBC,2019,5,0.2935933583,0.5829671779,0.02444116154277245,1.3524057764566308,0.1925401308,15.6275998391,177.44214310665186,2160.9089203436,79.8877689606,2418.238832410852,0.1689104046,0.4775712685685759,0.5753281219328011,0.2861024174306068,0.0908437697,0.1245592657,0.0550861969,1586128154982,1532958894808,0.0,3.4203607146,0.1621394539,1.5126613406,-7.833773728703807,1.5829671779218797,20812363556250,475711167,22.6624864597,2.1946569333,6.4837921611,13.5220075325,1930.5030839290766,19934.7785692847,13.9246577933
KBC,2018,5,0.38323662830000005,0.718930283,0.015966961868857526,1.2815655034985263,0.1524146223,18.1072709143,220.49866541364398,3019.6008712824,64.3459094312,3304.4454461272444,0.1208769025,0.4664305325107167,0.5896143815425409,0.2995188589989926,0.079060839,0.094280432,0.0456510538,1201418979019,1161961890888,0.0228571429,3.7789862774,0.0588808767,1.5444035841,-5.788054839265202,1.718930283000801,20812363556250,475711167,27.8928131755,2.3036299188,8.3544235766,160.5145448384,1568.5043930385598,18991.7658399808,19.2068329638
KBC,2017,5,0.477211073,0.7459150382,0.013065250268150305,1.1774428497646925,0.0828061546,10.4039273115,369.3230262939726,4952.0275516001,74.1682942962,5395.518872190272,0.0737071828,0.37517038531361735,0.5155299532572696,0.4638335858577939,0.0662003359,0.0402013341,0.0384082756,512592672814,472789163934,0.0,4.1282280007,0.1539614281,1.5803910644,-4.420100183953908,1.745915038229092,20812363556250,475711167,35.6057588714,2.511010934,16.5151468145,342.7608231774,1228.7338168519386,17423.2614469422,44.9288959982
KBC,2016,5,0.3563509679,0.7001965903,0.014402964498395957,1.1231157550032855,0.1393410095,14.876679731,197.4218786130063,3503.7621840037,40.246603278,3741.430665894706,0.1041737369,0.48327242465111486,0.561427603234307,0.28257627680026914,0.0669228627,0.090024466,0.0393744637,980547061150,953235247739,0.0,3.8574821687,0.089710422,1.3887933504,-11.67366843938219,1.7001965902547416,20812363556250,475711167,37.3402849126,2.7019330216,10.5514786853,22.8739952413,1171.6568339649677,16192.1112221484,22.9308857873
KBC,2015,5,0.4863453955,0.6990665362,0.0175467077418836,1.0468935860053727,0.1073992235,10.2515411551,248.632759040644,3385.7423755493,28.1077972884,3662.482931878344,0.1078050128,0.31052683029832423,0.39965575404684583,0.4264625487637772,0.0856268928,0.0420627616,0.0458017466,473921472391,445560017731,0.0,4.0761995746,0.0800278758,1.2216128737,-4.951344714267283,1.699066536206181,20812363556250,475711167,34.0120981155,2.9045360173,14.5048860512,-264.7318331648,1286.3070032135697,15062.6467494781,48.8286318024
KBC,2014,5,0.8496861373,1.0884359582,0.0222047463779213,0.8150654955079558,0.0835229651,4.0385909912,360.62075672702866,5720.8165779404,170.4009234588,6251.8382581262285,0.0638020805,0.4577351885574073,0.5497191951836216,0.30458972554137065,0.0631839393,0.0519303373,0.025440237,522216880299,489335166119,0.0,4.1145758913,0.0604025218,1.1590472308,-1.94432907451983,2.088435958192487,17312363556250,395711167,53.1678363042,3.2202472237,16.1943766675,34.6114467273,822.8659099403177,13585.9134288318,38.9295959898
KBC,2013,5,1.0890925245,1.8806569574,0.09640499584434391,0.5276778681588398,0.0882593983,2.7171906091,337.816269688572,4592.3491463682,143.9431580133,5074.108574070072,0.0794800196,0.4001983168303413,0.46192176380722144,0.06757793092000018,0.0180605086,0.0542895537,0.0059643875,463589618366,429341327075,0.0,1.5319648439,0.016958418,0.3800656367,-1.3818647753513564,3.0940377340579897,12937363556250,295711167,178.4487274964,3.194031865,12.0591957795,66.3412560848,245.16846162931682,13697.4212684264,37.8706597625
